Cycles,Current density,Voltage
4.57E-04,10,-312.97821
9.99E-04,10,-312.87158
0.00154,10,-312.76132
0.00208,10,-312.64743
0.00263,10,-312.52991
0.00317,10,-312.40876
0.00371,10,-312.28397
0.00425,10,-312.15557
0.0048,10,-312.02353
0.00534,10,-311.88787
0.00588,10,-311.74859
0.00642,10,-311.60569
0.00697,10,-311.45917
0.00751,10,-311.30903
0.00805,10,-311.15528
0.00859,10,-310.99791
0.00914,10,-310.83693
0.00968,10,-310.67234
0.01022,10,-310.50414
0.01076,10,-310.33233
0.0113,10,-310.15692
0.01185,10,-309.97791
0.01239,10,-309.7953
0.01293,10,-309.60909
0.01347,10,-309.41928
0.01402,10,-309.22588
0.01456,10,-309.02889
0.0151,10,-308.82831
0.01564,10,-308.62414
0.01619,10,-308.41639
0.01673,10,-308.20505
0.01727,10,-307.99013
0.01781,10,-307.77164
0.01836,10,-307.54958
0.0189,10,-307.32394
0.01944,10,-307.09473
0.01998,10,-306.86195
0.02053,10,-306.62561
0.02107,10,-306.38571
0.02161,10,-306.14225
0.02215,10,-305.89524
0.0227,10,-305.64467
0.02324,10,-305.39055
0.02378,10,-305.13289
0.02432,10,-304.87168
0.02486,10,-304.60693
0.02541,10,-304.33864
0.02595,10,-304.06682
0.02649,10,-303.79146
0.02703,10,-303.51258
0.02758,10,-303.23017
0.02812,10,-302.94424
0.02866,10,-302.6548
0.0292,10,-302.36183
0.02975,10,-302.06536
0.03029,10,-301.76537
0.03083,10,-301.46188
0.03137,10,-301.1549
0.03192,10,-300.84441
0.03246,10,-300.53043
0.033,10,-300.21295
0.03354,10,-299.89199
0.03409,10,-299.56755
0.03463,10,-299.23963
0.03517,10,-298.90823
0.03571,10,-298.57336
0.03626,10,-298.23503
0.0368,10,-297.89323
0.03734,10,-297.54797
0.03788,10,-297.19925
0.03842,10,-296.84708
0.03897,10,-296.49147
0.03951,10,-296.13241
0.04005,10,-295.76991
0.04059,10,-295.40398
0.04114,10,-295.03461
0.04168,10,-294.66182
0.04222,10,-294.28561
0.04276,10,-293.90598
0.04331,10,-293.52293
0.04385,10,-293.13648
0.04439,10,-292.74662
0.04493,10,-292.35336
0.04548,10,-291.9567
0.04602,10,-291.55666
0.04656,10,-291.15323
